Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
ROLLS-ROYCE HOLDINGS PLC,Aerospace &amp; Defense,Aerospace,15734.38,788.2,-48.68,8.68,2.6,2017
ROSE PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,3.16,2.15,0.05,nan,nan,2017
ROSENBLATT GROUP PLC,Support Services,Business Support Services,60.87,73.5,nan,nan,nan,nan
ROSNEFT OIL COMPANY,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,51426.46,6.19,nan,101.96,3.65,2017
ROSS GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,1.63,0.82,nan,-96.73,nan,2017
ROSSLYN DATA TECHNOLOGIES PLC,Software &amp; Computer Services,Software,13.68,7.1,-1.16,42.3,nan,2018
ROTALA PLC,Travel &amp; Leisure,Travel &amp; Tourism,22.09,48.5,36.63,83.97,4.5,2017
ROTORK PLC,Industrial Engineering,Industrial Machinery,2155.55,237.7,16.97,2.76,2.03,2017
ROYAL BANK OF SCOTLAND GROUP PLC,Banks,Banks,26109.11,213.1,349.26,nan,nan,2017
ROYAL MAIL PLC,Industrial Transportation,Delivery Services,2721.0,281.2,350.58,0.14,3.9,2018
RPC GROUP PLC,General Industrials,Containers &amp; Packaging,2649.93,650.0,4.34,60.28,3.62,2018
RPS GROUP PLC,Support Services,Business Support Services,307.5,138.4,-11.54,21.81,nan,2017
RSA INSURANCE GROUP PLC,Nonlife Insurance,Full Line Insurance,5274.32,507.8,299.36,nan,3.14,2017
RTC GROUP PLC,Support Services,Business Training &amp; Employment Agencies,7.47,51.0,24.48,108.64,5.77,2017
RUFFER INVESTMENT COMPANY LTD,Equity Investment Instruments,Equity Investment Instruments,376.04,207.0,nan,nan,nan,2018
RURELEC PLC,Electricity,Conventional Electricity,4.21,0.7,4.49,5.1,nan,2017
RWS HOLDINGS PLC,Support Services,Business Support Services,1310.27,457.0,3.92,12.74,1.31,2017
S &amp; U PLC,Financial Services,Consumer Finance,255.84,2200.0,1272.84,68.7,4.65,2018
SABIEN TECHNOLOGY GROUP PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,0.77,0.15,-0.04,nan,nan,2018
SABRE INSURANCE GROUP PLC,Nonlife Insurance,Property &amp; Casualty Insurance,682.5,266.0,-331.34,nan,nan,2017
SAFECHARGE INTERNATIONAL GROUP LIMITED,Support Services,Financial Administration,357.67,233.0,62.08,nan,4.32,2017
SAFELAND PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,6.28,42.5,144.62,43.55,1.74,2018
SAFESTAY PLC,Travel &amp; Leisure,Hotels,21.67,33.5,52.89,183.61,nan,2017
SAFESTORE HOLDINGS PLC,Real Estate Investment Trusts,Specialty REITs,1063.71,521.5,304.42,55.54,3.14,2017
SAFESTYLE UK PLC,General Retailers,Home Improvement Retailers,70.62,87.0,22.61,nan,6.43,2017
SAGA PLC,General Retailers,Specialized Consumer Services,1162.4,103.2,-28.8,-6.03,7.79,2018
SAGE GROUP PLC,Software &amp; Computer Services,Software,6526.78,572.2,-100.75,63.18,2.21,2017
SAINSBURY (J) PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5834.49,263.0,288.91,6.88,4.2,2018
SALT LAKE POTASH LIMITED,Alternative Energy,Alternative Fuels,44.64,25.5,7.61,-91.13,nan,2017
SALVARX GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,28.53,80.25,-1.15,nan,nan,2017
SAN LEON ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,130.07,25.75,39.74,-1.77,nan,2017
SANDERSON GROUP PLC,Software &amp; Computer Services,Computer Services,53.08,87.5,-4.52,nan,3.96,2017
SANDITON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,43.5,88.0,100.48,nan,nan,2018
SANNE GROUP PLC,Support Services,Business Support Services,847.67,555.0,36.73,nan,nan,2017
SAREUM HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,15.1,0.62,0.06,nan,nan,2018
SAVANNAH PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,216.5,26.5,33.8,-2.15,nan,2017
SAVANNAH RESOURCES PLC,Mining,General Mining,45.84,5.1,0.22,nan,nan,2016
SAVILLS PLC,Real Estate Investment &amp; Services,Real Estate Services,1010.27,708.0,38.4,-22.4,3.06,2017
SBERBANK OF RUSSIA,Banks,Banks,46441.77,10.98,nan,nan,0.62,2017
SCANCELL HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,35.39,8.75,1.18,nan,nan,2018
SCAPA GROUP PLC,Chemicals,Specialty Chemicals,474.11,311.6,26.5,3.7,0.49,2018
SCHOLIUM GROUP PLC,General Retailers,Specialty Retailers,6.12,45.0,72.96,nan,nan,2018
SCHRODER ASIAPACIFIC FUND PLC,Equity Investment Instruments,Equity Investment Instruments,669.88,389.0,nan,nan,2.21,2018
SCHRODER ASIAN TOTAL RETURN INVESTMENT COMPANY PLC,Equity Investment Instruments,Equity Investment Instruments,302.53,324.0,268.07,nan,nan,2016
SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC,Real Estate Investment Trusts,Diversified REITs,141.76,111.0,nan,nan,nan,2017
SCHRODER INCOME GROWTH FUND PLC,Equity Investment Instruments,Equity Investment Instruments,174.81,256.0,315.54,nan,3.92,2018
SCHRODER JAPAN GROWTH FUND PLC,Equity Investment Instruments,Equity Investment Instruments,230.64,188.0,233.8,nan,1.89,2018
SCHRODER ORIENTAL INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,594.79,230.0,258.63,1.97,3.52,2017
SCHRODER REAL ESTATE INVESTMENT TRUST LIMITED,Real Estate Investment Trusts,Diversified REITs,296.59,56.0,68.19,nan,4.22,2018
SCHRODER UK MID CAP FUND PLC,Equity Investment Instruments,Equity Investment Instruments,161.51,446.0,nan,nan,nan,2017
SCHRODERS PLC,Financial Services,Asset Managers,5521.73,2439.0,895.4,nan,2.9,2016
SCIENCE GROUP PLC,Support Services,Business Support Services,83.28,208.0,42.43,-18.16,2.14,2017
SCIENCE IN SPORT PLC,Food Producers,Food Products,65.86,54.0,32.1,nan,nan,2017
SCIENTIFIC DIGITAL IMAGING PLC,Health Care Equipment &amp; Services,Medical Equipment,31.37,34.25,2.05,-4.67,nan,2018
SCISYS GROUP PLC,Software &amp; Computer Services,Computer Services,43.93,157.0,15.9,23.08,1.87,2017
SCOTTISH AMERICAN INVESTMENT CO. PLC,Equity Investment Instruments,Equity Investment Instruments,494.67,350.0,366.2,nan,3.02,2017
SCOTTISH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,580.82,763.0,956.82,nan,2.97,2017
SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,287.98,958.0,1156.2,nan,1.13,2018
SCOTGEMS PLC,Equity Investment Instruments,Equity Investment Instruments,49.52,92.5,nan,nan,nan,nan
SCOTGOLD RESOURCES LIMITED,Mining,Gold Mining,17.8,39.0,47.91,-35.98,nan,2018
SCOTTISH MORTGAGE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,6803.02,441.35,nan,nan,0.69,2018
SCS GROUP PLC,General Retailers,Home Improvement Retailers,80.02,200.0,80.49,nan,nan,2018
SDL PLC,Software &amp; Computer Services,Software,432.94,480.0,43.99,nan,1.45,2017
SDX ENERGY INC.,Oil &amp; Gas Producers,Exploration &amp; Production,72.68,37.0,37.97,nan,nan,2017
SECURITIES TRUST OF SCOTLAND PLC,Equity Investment Instruments,Equity Investment Instruments,160.66,153.25,170.02,nan,3.8,2018
SECURE INCOME REIT PLC,Real Estate Investment Trusts,Diversified REITs,1212.29,377.0,373.29,102.06,3.76,2017
SEEING MACHINES LIMITED,Technology Hardware &amp; Equipment,Computer Hardware,96.09,4.1,2.09,-66.04,nan,2018
SEGRO PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,5965.48,599.0,556.51,nan,2.86,2017
SENECA GLOBAL INCOME &amp; GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,75.65,160.0,nan,nan,3.65,2018
SENIOR PLC,Aerospace &amp; Defense,Aerospace,794.38,189.9,44.73,29.18,2.67,2017
SENSYNE HEALTH PLC,Health Care Equipment &amp; Services,Health Care Providers,203.79,155.5,nan,nan,nan,nan
SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,1204.0,112.5,98.2,nan,8.92,2018
SERABI GOLD PLC,Mining,Gold Mining,20.91,35.5,135.9,2.47,nan,2017
SERCO GROUP PLC,Support Services,Business Support Services,1050.23,98.1,-28.41,58.71,nan,2017
SERICA ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,332.27,120.5,30.31,nan,nan,2017
SERINUS ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,32.6,15.0,1.92,nan,nan,2017
SEVERFIELD PLC,Industrial Engineering,Industrial Machinery,214.3,73.0,38.1,-19.46,3.54,2018
SEVERN TRENT PLC,"Gas, Water &amp; Multiutilities",Water,4305.68,1863.5,356.83,555.17,4.69,2018
SHAFTESBURY PLC,Real Estate Investment Trusts,Retail REITs,2552.8,820.0,948.71,nan,1.57,2017
SHANTA GOLD LIMITED,Mining,Gold Mining,48.29,5.35,7.43,48.24,nan,2017
SHARE PLC,Financial Services,Investment Services,32.68,22.75,10.83,nan,1.74,2017
SHEARWATER GROUP PLC,Software &amp; Computer Services,Software,56.16,3.15,0.1,nan,nan,2018
SHIELD THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,35.51,30.5,17.97,nan,nan,2017
SHIRES INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,69.14,233.0,268.07,nan,5.0,2018
SHOE ZONE PLC,General Retailers,Apparel Retailers,88.87,178.5,62.32,nan,6.92,2017
SIG PLC,Support Services,Industrial Suppliers,649.52,113.0,18.19,46.79,2.11,2017
SIGMA CAPITAL GROUP PLC,Financial Services,Specialty Finance,116.14,131.5,44.53,-13.96,nan,2017
SIGMAROC PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,53.59,39.3,23.1,23.29,nan,2017
SILENCE THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,37.17,52.8,66.52,nan,nan,2016
SIMEC ATLANTIS ENERGY LIMITED,Electricity,Alternative Electricity,88.8,24.25,19.03,62.28,nan,2017
SIMIGON LTD.,Software &amp; Computer Services,Software,6.36,12.5,12.95,nan,nan,2017
THE SIMPLYBIZ GROUP PLC,Support Services,Business Support Services,114.7,146.01,nan,nan,nan,nan
SIRIUS MINERALS PLC,Chemicals,Specialty Chemicals,997.79,21.02,10.99,2.73,nan,2017
SIRIUS PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,22.22,0.62,0.03,-30.59,nan,2017
SIRIUS REAL ESTATE LD,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,606.93,58.4,56.13,45.96,4.5,2018
SKINBIOTHERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,16.03,13.5,253.63,nan,nan,2018
SMART METERING SYSTEMS PLC,Support Services,Business Support Services,590.88,518.0,58.07,141.84,0.76,2016
SMART (J.) &amp; CO. (CONTRACTORS) PLC,Construction &amp; Materials,Heavy Construction,47.76,109.5,219.59,-12.14,2.81,2018
SMARTSPACE SOFTWARE PLC,Software &amp; Computer Services,Software,19.39,88.5,28.67,-5.43,nan,2018
SMITH &amp; NEPHEW PLC,Health Care Equipment &amp; Services,Medical Equipment,12803.21,1396.0,80.52,27.58,1.08,2017
SMITH (DS) PLC,General Industrials,Containers &amp; Packaging,4098.69,292.9,6.14,80.84,2.81,2018
SMITHS GROUP PLC,General Industrials,Diversified Industrials,5400.59,1342.0,53.32,39.3,2.76,2018
SMITHSON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,839.18,1020.0,nan,nan,nan,nan
SMURFIT KAPPA GROUP PLC,General Industrials,Containers &amp; Packaging,4938.77,2088.0,30.59,112.2,3.13,2017
SOCO INTERNATIONAL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,225.73,70.0,115.51,nan,3.31,2017
SOFTCAT PLC,Software &amp; Computer Services,Computer Services,1163.95,570.0,44.49,nan,nan,2018
SOLID STATE PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,25.32,301.0,140.12,nan,3.12,2018
SOLO OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,11.21,1.75,0.97,3.88,nan,2017
SOMERO ENTERPRISE INC.,Industrial Engineering,Commercial Vehicles &amp; Trucks,173.09,320.0,62.53,nan,3.99,2017
SOPHEON PLC,Software &amp; Computer Services,Software,120.71,1145.0,99.84,-51.24,0.72,2017
SOPHOS GROUP PLC,Software &amp; Computer Services,Software,1813.32,360.0,-123.96,222.44,nan,2018
SOSANDAR PLC,General Retailers,Apparel Retailers,34.86,30.0,4.56,nan,nan,2018
SOUND ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,237.38,19.31,0.84,nan,nan,2017
SPACEANDPEOPLE PLC,Media,Media Agencies,3.42,17.5,8.99,nan,4.92,2017
SPECTRA SYSTEMS CORPORATION,Support Services,Business Support Services,47.73,117.5,30.06,nan,nan,2017
SPECTRIS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,2632.53,2188.0,307.5,4.2,2.13,2017
SPEEDY HIRE PLC,Support Services,Business Support Services,311.67,59.6,35.86,35.09,3.17,2018
SPIRAX-SARCO ENGINEERING PLC,Industrial Engineering,Industrial Machinery,4593.4,5950.0,-31.11,61.41,1.56,2017
SPIRE HEALTHCARE GROUP PLC,Health Care Equipment &amp; Services,Health Care Providers,436.78,113.1,129.77,44.59,1.52,2017
SPIRENT COMMUNICATIONS PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,724.3,115.8,24.23,nan,6.59,2017
SPITFIRE OIL LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,1.23,4.75,13.34,nan,nan,2017
SPORTECH PLC,Travel &amp; Leisure,Gambling,74.23,39.7,21.32,nan,36.71,2017
SPORTS DIRECT INTERNATIONAL PLC,General Retailers,Apparel Retailers,1276.91,245.4,192.04,nan,nan,2018
SPRINGFIELD PROPERTIES PLC,Household Goods &amp; Home Construction,Home Construction,100.19,104.0,4614.56,102.49,11.34,2017
SQN ASSET FINANCE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,344.86,97.5,148.98,nan,3.65,2018
SQN ASSET FINANCE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,126.45,91.37,148.98,nan,nan,2018
SRT MARINE SYSTEMS PLC,Technology Hardware &amp; Equipment,Semiconductors,43.69,31.0,10.37,11.74,nan,2018
SSE PLC,Electricity,Conventional Electricity,11102.0,1064.0,442.08,160.19,7.42,2018
SSP GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,3023.34,643.5,-68.25,68.07,1.56,2017
ST. JAMES'S PLACE PLC,Life Insurance,Life Insurance,4997.89,940.0,74.46,nan,3.52,2017
ST.MODWEN PROPERTIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,880.61,407.4,430.51,54.77,2.14,2016
STAFFLINE GROUP PLC,Support Services,Business Training &amp; Employment Agencies,346.51,1230.0,-68.94,17.22,2.64,2017
STAGECOACH GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,758.83,135.4,2.49,201.99,4.86,2018
STANDARD LIFE UK SMALLER COMPANIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,410.71,406.5,571.9,nan,1.4,2018
STANDARD CHARTERED PLC,Banks,Banks,20155.74,586.7,1102.34,nan,2.12,2017
STANLEY GIBBONS GROUP PLC,General Retailers,Specialty Retailers,16.54,3.88,1.45,44.36,nan,2018
STARCOM PLC,Software &amp; Computer Services,Software,4.55,1.6,0.07,33.38,nan,2016
STARVEST PLC,Financial Services,Specialty Finance,1.16,2.05,2.94,-6.69,nan,2018
STARWOOD EUROPEAN REAL ESTATE FINANCE LIMITED,Equity Investment Instruments,Equity Investment Instruments,382.52,102.0,102.17,0.41,5.94,2017
STATPRO GROUP PLC,Software &amp; Computer Services,Software,73.34,111.5,-54.55,69.68,2.04,2017
STANDARD LIFE INVESTMENTS PROPERTY INCOME TRUST LD,Real Estate Investment Trusts,Diversified REITs,329.97,79.0,87.62,nan,5.15,2017
STANDARD LIFE ABERDEEN PLC,Financial Services,Asset Managers,6494.27,252.0,137.3,nan,4.94,2017
STANDARD LIFE PRIVATE EQUITY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,497.37,324.5,389.6,nan,3.51,2017
STERLING ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,22.89,10.95,17.13,nan,nan,2017
STHREE PLC,Support Services,Business Training &amp; Employment Agencies,374.81,262.0,54.08,-6.96,4.08,2017
STILO INTERNATIONAL PLC,Software &amp; Computer Services,Internet,3.42,3.0,1.22,nan,1.86,2017
STM GROUP PLC,Financial Services,Asset Managers,32.97,55.5,21.58,-54.32,nan,2017
STOBART GROUP LD,Industrial Transportation,Transportation Services,511.65,150.4,85.09,9.02,6.92,2018
STOCK SPIRITS GROUP PLC,Beverages,Distillers &amp; Vintners,416.0,209.0,-1.46,14.97,2.71,2017
STRATEGIC EQUITY CAPITAL PLC,Equity Investment Instruments,Equity Investment Instruments,127.54,194.5,260.16,nan,0.45,2018
STRATEGIC MINERALS PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,17.98,1.3,0.41,nan,nan,2017
STRIDE GAMING PLC,Travel &amp; Leisure,Gambling,94.0,117.5,-6.58,-35.98,nan,2017
STRIX GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,267.9,135.0,nan,nan,nan,2017
STV GROUP PLC,Media,Broadcasting &amp; Entertainment,138.74,348.5,nan,nan,5.03,2017
SUMMIT GERMANY LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,455.59,1.11,102.5,72.53,2.43,2017
SUMMIT THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,16.04,20.0,-10.04,nan,nan,2018
SUMO GROUP PLC,Leisure Goods,Toys,177.83,125.0,nan,nan,nan,2017
SUNRISE RESOURCES PLC,Mining,General Mining,2.57,0.12,0.01,nan,nan,2017
SUPERDRY PLC,Personal Goods,Clothing &amp; Accessories,383.42,488.2,429.62,nan,3.69,2018
SURESERVE GROUP PLC,Support Services,Business Support Services,32.29,20.5,1.27,2.54,-40.59,2017
SURFACE TRANSFORMS PLC,Automobiles &amp; Parts,Auto Parts,18.56,15.0,4.17,-29.9,nan,2017
SURGICAL INNOVATIONS GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,21.91,2.85,0.35,5.34,nan,2017
SUTTON HARBOUR HOLDINGS PLC,Industrial Transportation,Transportation Services,30.73,26.0,37.24,55.58,nan,2018
SVM UK EMERGING FUND PLC,Equity Investment Instruments,Equity Investment Instruments,5.81,96.75,112.06,0.85,nan,2018
SWALLOWFIELD PLC,Personal Goods,Personal Products,38.55,210.0,83.08,12.7,3.01,2018
SYLVANIA PLATINUM LIMITED,Mining,Platinum &amp; Precious Metals,46.4,17.3,30.05,-12.24,nan,2018
SYMPHONY ENVIRONMENTAL TECHNOLOGIES PLC,General Industrials,Containers &amp; Packaging,10.42,6.75,0.67,35.16,nan,2016
SYNAIRGEN PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,14.5,13.25,7.13,nan,nan,2017
SYNCONA LIMITED,Equity Investment Instruments,Equity Investment Instruments,1768.77,262.0,159.98,nan,nan,2018
SYNECTICS PLC,Support Services,Business Support Services,35.14,197.5,106.8,-9.38,1.84,2017
SYNNOVIA PLC,Chemicals,Specialty Chemicals,44.06,113.0,nan,nan,nan,nan
SYNTHOMER PLC,Chemicals,Specialty Chemicals,1214.73,348.4,-2.74,46.53,2.5,2017
SYSGROUP PLC,Software &amp; Computer Services,Internet,8.9,39.5,-6.42,8.1,nan,2018
SYSTEM1 GROUP PLC,Media,Media Agencies,27.03,215.0,55.97,-80.87,11.2,2018
TALKTALK TELECOM GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,1305.6,113.2,-47.12,356.13,3.45,2018
TANDEM GROUP PLC,Leisure Goods,Recreational Products,5.53,110.0,108.85,9.18,3.81,2017
TANFIELD GROUP PLC,Industrial Engineering,Commercial Vehicles &amp; Trucks,7.9,4.54,23.27,nan,nan,2017
TAPTICA INTERNATIONAL LTD,Media,Media Agencies,109.54,167.5,4.2,6.21,0.92,2017
TARGET HEALTHCARE REIT LIMITED,Real Estate Investment Trusts,Specialty REITs,415.9,106.0,100.44,nan,nan,2017
TARSUS GROUP PLC,Media,Media Agencies,330.53,269.0,-104.22,nan,3.1,2017
TASTY PLC,Travel &amp; Leisure,Restaurants &amp; Bars,6.58,10.75,36.1,23.38,nan,2017
TATE &amp; LYLE PLC,Food Producers,Food Products,3085.62,668.0,218.46,27.8,5.27,2018
TATTON ASSET MANAGEMENT PLC,Financial Services,Asset Managers,113.49,202.0,131.55,nan,nan,2018
TAVISTOCK INVESTMENTS PLC,Financial Services,Specialty Finance,18.41,3.2,-0.08,-4.16,nan,2018
TAX SYSTEMS PLC,Software &amp; Computer Services,Software,69.81,86.5,-39.9,38.59,nan,2017
TAYLOR WIMPEY PLC,Household Goods &amp; Home Construction,Home Construction,4464.46,137.7,88.84,nan,1.84,2016
TBC BANK GROUP PLC,Banks,Banks,825.6,1456.0,nan,nan,nan,2017
TCS GROUP HOLDING PLC,Banks,Banks,1105.6,15.6,nan,nan,0.07,2017
TEAM17 GROUP PLC,Leisure Goods,Toys,256.01,221.0,nan,nan,nan,nan
TECHFINANCIALS INC,Software &amp; Computer Services,Software,4.46,4.9,0.73,nan,nan,2017
TED BAKER PLC,Personal Goods,Clothing &amp; Accessories,690.7,1557.0,426.49,49.91,1.98,2018
TEKCAPITAL PLC,Software &amp; Computer Services,Computer Services,3.26,6.0,18.02,nan,nan,2017
TEKMAR GROUP PLC,Oil Equipment &amp; Services,Pipelines,44.35,85.0,nan,nan,nan,nan
TELECOM PLUS PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,1119.53,1456.0,53.78,nan,4.09,2018
TELFORD HOMES PLC,Household Goods &amp; Home Construction,Home Construction,215.75,282.5,305.63,43.04,4.19,2018
TELIT COMMUNICATIONS PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,170.42,123.8,8.46,24.53,nan,2017
TEMPLE BAR INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,766.36,1148.0,1400.22,nan,3.25,2017
TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1722.25,678.0,846.0,nan,nan,2018
TEN ENTERTAINMENT GROUP PLC,Travel &amp; Leisure,Recreational Services,148.2,228.0,-1802.36,8.5,nan,2017
TEN LIFESTYLE GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,35.89,45.4,-4.21,-9.11,-30.16,2017
TERN PLC,Software &amp; Computer Services,Software,36.68,13.75,7.38,nan,nan,2017
TERTIARY MINERALS PLC,Mining,General Mining,1.62,0.45,0.19,nan,nan,2017
TESCO PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,18617.44,199.35,95.45,43.53,1.46,2018
TEX HOLDINGS PLC,Industrial Engineering,Industrial Machinery,6.35,100.0,167.54,nan,7.17,2017
THALASSA HOLDINGS LIMITED,Oil Equipment &amp; Services,Oil Equipment &amp; Services,14.73,81.5,101.06,nan,nan,2017
THE EUROPEAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,322.96,754.0,1004.26,3.04,2.97,2018
VITEC GROUP PLC (THE),Industrial Engineering,Industrial Machinery,540.22,1185.0,104.88,31.64,2.66,2017
THINKSMART LIMITED,Financial Services,Specialty Finance,12.99,12.25,6.71,20.16,nan,2018
THIRD POINT OFFSHORE INVESTORS LIMITED,Equity Investment Instruments,Equity Investment Instruments,17.13,1105.0,960.65,nan,nan,2017
THOMAS COOK GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,472.43,35.58,-186.32,13.88,0.5,2017
THOR MINING PLC,Mining,General Mining,9.32,1.3,0.01,-3.59,nan,2017
THORPE (F.W.) PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,296.11,252.0,78.17,nan,1.62,2018
THRUVISION GROUP PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,39.64,26.75,11.79,nan,nan,2018
TI FLUID SYSTEMS PLC,Automobiles &amp; Parts,Auto Parts,868.24,163.0,-231.18,97.02,11.03,2017
TLA WORLDWIDE PLC,Media,Media Agencies,3.59,2.5,-14.04,88.74,nan,2017
TLOU ENERGY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,16.62,4.55,13.37,nan,nan,2018
TOC PROPERTY BACKED LENDING TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,27.87,103.5,nan,nan,nan,2017
TOMCO ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.42,2.2,0.05,nan,nan,2017
TOPPS TILES PLC,General Retailers,Home Improvement Retailers,122.22,63.0,11.45,nan,4.5,2017
TOTALLY PLC,Health Care Equipment &amp; Services,Health Care Providers,7.95,13.25,-6.56,-37.35,nan,2018
TOUCHSTONE EXPLORATION INC,Oil &amp; Gas Producers,Exploration &amp; Production,16.45,12.75,23.13,nan,nan,2017
TOUCHSTAR PLC,Technology Hardware &amp; Equipment,Computer Hardware,3.47,41.0,16.41,15.48,nan,2017
TOWER RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,4.81,1.27,15.36,nan,nan,2017
TOWN CENTRE SECURITIES PLC,Real Estate Investment Trusts,Diversified REITs,109.51,218.0,376.4,nan,6.94,2018
TP GROUP PLC,Aerospace &amp; Defense,Defense,44.76,6.0,3.19,-52.11,nan,2017
TP ICAP PLC,Financial Services,Investment Services,1695.64,303.0,19.67,-1.81,3.19,2017
TR EUROPEAN GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,387.84,779.0,1146.7,nan,1.86,2018
TR PROPERTY INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1128.18,356.5,395.64,nan,3.19,2018
TRACKWISE DESIGNS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,14.85,97.5,nan,nan,nan,nan
TRACSIS PLC,Software &amp; Computer Services,Software,169.06,610.0,32.86,-52.37,nan,2018
TRAFALGAR PROPERTY GROUP PLC,Household Goods &amp; Home Construction,Home Construction,2.93,0.69,1146.7,nan,1.86,2018
TRAKM8 HOLDINGS PLC,Technology Hardware &amp; Equipment,Computer Hardware,11.24,22.25,7.48,14.9,nan,2018
TRANS-SIBERIAN GOLD PLC,Mining,Gold Mining,39.62,34.5,55.02,15.82,9.56,2017
TRANSENSE TECHNOLOGIES PLC,Automobiles &amp; Parts,Auto Parts,5.96,49.5,24.62,nan,nan,2018
TRAVIS PERKINS PLC,Support Services,Industrial Suppliers,2697.94,1054.0,367.77,11.99,2.93,2017
TREATT PLC,Chemicals,Specialty Chemicals,249.9,449.0,81.56,22.0,1.04,2017
TRI-STAR RESOURCES PLC,Industrial Metals &amp; Mining,Nonferrous Metals,37.18,39.5,0.01,199.84,nan,2017
TRIAD GROUP PLC,Software &amp; Computer Services,Computer Services,5.93,37.5,32.8,nan,2.73,2018
